Year;Group;Units;Territorio;Value
2010;A;Porcentaje;ES;20.72
2011;A;Porcentaje;ES;20.65
2012;A;Porcentaje;ES;20.83
2013;A;Porcentaje;ES;20.38
2014;A;Porcentaje;ES;22.23
2015;A;Porcentaje;ES;22.13
2016;A;Porcentaje;ES;22.35
2017;A;Porcentaje;ES;21.61
2018;A;Porcentaje;ES;21.54
2019;A;Porcentaje;ES;20.66
2010;A;Porcentaje;EX;35.7
2011;A;Porcentaje;EX;31.7
2012;A;Porcentaje;EX;29.4
2013;A;Porcentaje;EX;30.9
2014;A;Porcentaje;EX;33.1
2015;A;Porcentaje;EX;29.0
2016;A;Porcentaje;EX;30.4
2017;A;Porcentaje;EX;38.8
2018;A;Porcentaje;EX;37.6
2019;A;Porcentaje;EX;31.5
